"Record ID","Survey Identifier","Survey Timestamp","What is your age?","What is your sex?","What is your marital status?","Do you work in a rural area (i.e. upcountry)?","What is your job in the hospital?","How many  years since you finished training?","How many institutions do you have clinical jobs at?","Do you have an anesthesia job working for the government?","Do you get money from any work outside the hospital? (e.g. research work, private business, or other non-clinical jobs)","Is the amount of money you make sufficient for your expenses?","Where is your government job?","If other, where is it?","Is this a teaching institution?","Is this your primary job?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your salary scale?","What is your average monthly pay from this job?","Where is your non-government job?","If other, what is your non-government job?","Is this a teaching institution?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your average monthly pay from this job?","Where is this job?","If other, what is this job?","Is this a teaching institution?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your average monthly pay from this job?","Where is this job?","If other, what is this job?","Is this a teaching institution?","On average, how many days per week do you work at this job?","On average, how many HOURS per week do you work at this job?","What is your average monthly pay from this job?","What is your work outside of anesthesia? (e.g. research work, private business, or other non-clinical jobs)","On average, how many HOURS per week do you spend on this work?","What is your average monthly pay from your work outside the hospital?","On average, how much do you make, in TOTAL, from ALL sources each month (including hospital work, non-hospital work, gifts, and any other work we haven't asked about)?",Transportation,Food,Accomodation,"Estimate the total monetary value of your allowances",Complete?
13,,"2018-11-29 06:15:43",33,Female,Single,No,"Physician anesthesiologist",4,3,Yes,No,Yes,"Teaching hospital",,Yes,Yes,3,,M6,"3-6 million","Private, for profit hospital",,No,1,,"1-2 million","Private, for profit hospital",,No,1,,"1-2 million",,,,,,,,,,"6-9 million",No,No,No,,Complete
14,,"[not completed]",,Male,"Co-habitating (living with partner but not married)",No,"Physician anesthesiologist",,2,Yes,Yes,No,"Teaching hospital",,Yes,Yes,3,,,"3-6 million","Private, for profit hospital",,No,2,,"6-9 million",,,,,,,,,,,,,,"0-5 hours","500,000 - 1,000,000","11-13 million",No,No,No,,Incomplete
15,,"2018-11-30 01:32:51",31,Male,Married,No,"Physician anesthesiologist",3,2,No,Yes,Yes,,,,,,,,,"Private, for profit hospital",,No,2,,"6-9 million","Private, for profit hospital",,No,4,,"3-6 million",,,,,,,"Private buisness","5-10 hours","3-6 million","20-25 million",No,Yes,No,"100,000-250,000",Complete
16,,"2018-11-30 01:33:37",32,Male,Single,No,"Physician anesthesiologist",1,3,Yes,No,No,"Teaching hospital",,Yes,Yes,2,,U2,"2-3 million","Private, not for profit hospital",,Yes,3,,"3-6 million","Private, not for profit hospital",,Yes,2,,"3-6 million",,,,,,,,,,"6-9 million",No,No,No,,Complete
17,,"2018-11-30 01:44:33",32,Male,Married,No,"Physician anesthesiologist",4,3,Yes,No,No,"Teaching hospital",,Yes,Yes,5,,M6,"2-3 million","Private, for profit hospital",,Yes,2,,"2-3 million","Private, for profit hospital",,No,2,,"1-2 million",,,,,,,,,,"3-6 million",No,No,No,,Complete
18,,"2018-11-30 03:24:42",31,Female,Married,No,"Physician anesthesiologist",4,2,Yes,No,No,"Government hospital",,No,Yes,3,,U2,"2-3 million","Private, not for profit hospital",,No,2,,"2-3 million",,,,,,,,,,,,,,,,"3-6 million",No,No,No,,Complete
19,,"2018-12-01 02:36:21",65,Female,Divorced,Yes,"Physician anesthesiologist",34,1,Yes,Yes,No,Other,"catholic hospital",No,No,6,,,"3-6 million",,,,,,,,,,,,,,,,,,,"examination of medical students, clinical officers","0-5 hours","0-500,000","3-6 million",No,Yes,Yes,"100,000-250,000",Complete
20,,"2018-12-03 07:02:43",37,Male,Single,No,"Physician anesthesiologist",8,1,Yes,Yes,Yes,"Teaching hospital",,Yes,Yes,1,,M6,"3-6 million",,,,,,,,,,,,,,,,,,,"Private business non clinical","10-20 hours","13-15 million","15-20 million",No,No,No,,Complete
21,,"2018-12-03 07:07:27",31,Male,Single,Yes,"Physician anesthesiologist",0,1,No,No,No,,,,,,,,,"Private, not for profit hospital",,Yes,7,,"1-2 million",,,,,,,,,,,,,,,,"1-2 million",No,No,Yes,"0-100,000",Complete
22,,"2018-12-03 10:59:38",34,Male,Single,No,"Physician anesthesiologist",5,2,Yes,Yes,No,"Teaching hospital",,Yes,Yes,3,,U4,"3-6 million","Private, for profit hospital",,Yes,2,,"3-6 million",,,,,,,,,,,,,"Non-clinical jobs","10-20 hours","3-6 million","9-11 million",No,No,No,"0-100,000",Complete
23,,"2018-12-03 19:04:33",35,Male,Married,No,"Physician anesthesiologist",7,2,Yes,No,Yes,"Teaching hospital",,Yes,Yes,3,,M7,"3-6 million","Private, for profit hospital",,No,2,,"3-6 million",,,,,,,,,,,,,,,,"9-11 million",No,No,No,"500,000-1,000,000",Complete
24,,"2018-12-06 20:38:07",32,Male,Married,No,"Physician anesthesiologist",4,"More than 3",No,Yes,Yes,,,,,,,,,"Private, for profit hospital",,No,4,,"6-9 million","Private, for profit hospital",,No,2,,"500,000 - 1,000,000","Private, for profit hospital",,No,1,,"500,000 - 1,000,000","Private business","5-10 hours","500,000 - 1,000,000","6-9 million",No,Yes,No,"0-100,000",Complete
25,,"2019-03-20 03:03:56",31,Male,Married,Yes,"Anesthetic officer",2,2,Yes,No,No,"Government hospital",,No,Yes,4,>40,U5,"1-2 million","Private, not for profit hospital",,No,2,10-20,"500,000 - 1,000,000",,,,,,,,,,,,,,,,"2-3 million",No,No,No,"0-100,000",Complete
26,,"2019-03-20 03:06:23",36,Male,Married,Yes,"Anesthetic officer",1,1,No,No,No,,,,,,,,,"Private, not for profit hospital",,No,3,20-30,"1-2 million",,,,,,,,,,,,,,,,"1-2 million",No,No,No,"0-100,000",Complete
27,,"2019-03-20 03:09:14",57,Male,Married,Yes,"Anesthetic officer",38,1,Yes,No,No,"Government hospital",,No,Yes,4,20-30,U5,"2-3 million",,,,,,,,,,,,,,,,,,,,,,"2-3 million",No,No,No,"0-100,000",Complete
28,,"2019-03-20 03:14:39",48,Female,Married,No,"Anesthetic officer",16,1,Yes,No,No,"Government hospital",,No,Yes,3,20-30,U5,"1-2 million",,,,,,,,,,,,,,,,,,,,,,"1-2 million",No,No,No,"0-100,000",Complete
29,,"2019-03-20 03:26:54",33,Female,Single,Yes,"Anesthetic officer",2,1,Yes,Yes,Yes,"Government hospital",,No,Yes,4,30-40,U5,"1-2 million",,,,,,,,,,,,,,,,,,,"private business","5-10 hours","0-500,000","1-2 million",No,No,No,"0-100,000",Complete
30,,"2019-03-20 03:30:48",30,Male,Married,Yes,"Anesthetic officer",1,2,Yes,No,No,"Government hospital",,No,Yes,4,20-30,U5,"1-2 million","Private, not for profit hospital",,No,2,10-20,"500,000 - 1,000,000",,,,,,,,,,,,,,,,"2-3 million",No,No,No,"0-100,000",Complete
31,,"2019-05-15 04:50:10",27,Male,Single,No,"Anesthetic officer",1,1,Yes,Yes,No,"Government hospital",,Yes,Yes,3,30-40,1200000,"500,000 - 1,000,000",,,,,,,,,,,,,,,,,,,"private business",">40 hours","500,000 - 1,000,000","1-2 million",No,No,No,"250,000-500,000",Complete
32,,"2019-05-15 07:53:43",37,Male,Married,Yes,"Anesthetic officer",5,2,No,Yes,No,,,,,,,,,"Private, not for profit hospital",,Yes,5,>40,"1-2 million","Private, not for profit hospital",,Yes,4,>40,"500,000 - 1,000,000",,,,,,,"private business","0-5 hours","1-2 million","2-3 million",No,Yes,No,"250,000-500,000",Complete
37,,"2019-05-16 03:07:02",47,Female,Married,Yes,"Anesthetic officer",16,1,Yes,No,No,"Government hospital",,Yes,Yes,5,>40,"U4 (Med-2)","1-2 million",,,,,,,,,,,,,,,,,,,,,,"1-2 million",No,No,No,"0-100,000",Complete
38,,"2019-05-17 02:21:00",34,Male,Married,Yes,"Anesthetic officer",4,2,Yes,Yes,Yes,"Government hospital",,Yes,Yes,4,30-40,u5,"500,000 - 1,000,000","Private, not for profit hospital",,No,3,20-30,"500,000 - 1,000,000",,,,,,,,,,,,,"Teaching AO school","0-5 hours","0-500,000","2-3 million",No,Yes,Yes,"100,000-250,000",Complete
39,,"2019-05-17 02:31:10",44,Male,Married,Yes,"Anesthetic officer",11,2,Yes,No,No,"Government hospital",,No,Yes,4,>40,U5,"1-2 million","Private, not for profit hospital",,Yes,3,>40,"500,000 - 1,000,000",,,,,,,,,,,,,,,,"1-2 million",No,No,No,"0-100,000",Complete
40,,"2019-05-17 03:08:18",33,Female,"Co-habitating (living with partner but not married)",Yes,"Anesthetic officer",2,2,Yes,Yes,Yes,"Government hospital",,No,No,3,>40,U5(SC),"1-2 million","Private, not for profit hospital",,Yes,3,30-40,"0-500,000",,,,,,,,,,,,,private,"0-5 hours","0-500,000","1-2 million",No,No,No,"0-100,000",Complete
41,,"2019-05-17 05:47:46",34,Male,Married,Yes,"Anesthetic officer",1,2,Yes,Yes,No,"Government hospital",,Yes,Yes,4,>40,u5,"1-2 million","Private, not for profit hospital",,No,3,>40,"500,000 - 1,000,000",,,,,,,,,,,,,teaching,"0-5 hours","0-500,000","1-2 million",No,Yes,Yes,"100,000-250,000",Complete
42,,"2019-05-21 05:19:07",44,Female,Married,No,"Anesthetic officer",15,2,Yes,No,No,"Teaching hospital",,Yes,Yes,4,1-10,u4,"1-2 million","Private, for profit hospital",,No,2,1-10,"0-500,000",,,,,,,,,,,,,,,,"2-3 million",No,Yes,No,"0-100,000",Complete
43,,"2019-05-23 04:58:43",30,Female,Single,No,"Physician anesthesiologist",1,2,No,Yes,Yes,,,,,,,,,"Private, not for profit hospital",,No,4,1-10,"500,000 - 1,000,000","Private, for profit hospital",,No,4,20-30,"6-9 million",,,,,,,Research,"0-5 hours","0-500,000","6-9 million",No,No,No,"0-100,000",Complete
44,,"2019-05-23 07:31:47",30,Female,Married,No,"Physician anesthesiologist",1,1,No,Yes,No,,,,,,,,,"Private, for profit hospital",,No,2,10-20,"500,000 - 1,000,000",,,,,,,,,,,,,"Private business","5-10 hours","0-500,000","1-2 million",No,No,No,"0-100,000",Complete
45,,"2019-05-23 08:00:11",44,Male,Married,Yes,"Physician anesthesiologist",5,2,Yes,Yes,No,"Government hospital",,Yes,Yes,3,20-30,"2-3 million","2-3 million","Private, for profit hospital",,Yes,2,10-20,"3-6 million",,,,,,,,,,,,,"private bussiness","10-20 hours","1-2 million","3-6 million",No,No,No,"500,000-1,000,000",Complete
46,,"2019-05-23 13:31:45",30,Male,Single,Yes,"Physician anesthesiologist",1,3,Yes,Yes,Yes,"Teaching hospital",,Yes,No,2,20-30,u4,"2-3 million","Private, not for profit hospital",,Yes,2,20-30,"2-3 million","Private, not for profit hospital",,No,1,10-20,"1-2 million",,,,,,,research,"20-30 hours","2-3 million","9-11 million",No,No,Yes,"250,000-500,000",Complete
47,,"2019-05-24 04:01:34",30,Female,Married,No,"Physician anesthesiologist",2,3,Yes,Yes,No,"Government hospital",,Yes,Yes,4,>40,U2,"1-2 million","Private, for profit hospital",,No,1,10-20,"3-6 million","Private, for profit hospital",,Yes,1,10-20,"3-6 million",,,,,,,"training ","0-5 hours","2-3 million","9-11 million",No,Yes,No,"0-100,000",Complete
48,,"2019-05-24 04:14:53",30,Male,Single,No,"Physician anesthesiologist",1,3,Yes,No,No,"Teaching hospital",,Yes,Yes,2,10-20,U2,"2-3 million","Private, for profit hospital",,No,2,10-20,"3-6 million","Private, not for profit hospital",,Yes,1,1-10,"2-3 million",,,,,,,,,,"9-11 million",No,Yes,No,"100,000-250,000",Complete
49,,"[not completed]",38,Female,Married,No,"Physician anesthesiologist",,Unemployed,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-9 million",No,No,No,"0-100,000",Incomplete
50,,"2019-05-25 00:30:58",38,Female,Married,No,"Physician anesthesiologist",1,Unemployed,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-9 million",No,No,No,"0-100,000",Complete
51,,"2019-05-28 02:36:05",42,Female,Married,No,"Physician anesthesiologist",14,2,Yes,Yes,Yes,"Teaching hospital",,Yes,Yes,4,>40,M6,"3-6 million","Private, for profit hospital",,No,1,1-10,"3-6 million",,,,,,,,,,,,,"escort services","20-30 hours","2-3 million","11-13 million",No,No,No,"0-100,000",Complete
52,,"2019-05-28 04:35:02",50,Male,Married,No,"Anesthetic officer",20,2,Yes,No,No,"Government hospital",,Yes,Yes,4,>40,U3,"2-3 million","Private, not for profit hospital",,Yes,5,>40,"1-2 million",,,,,,,,,,,,,,,,"3-6 million",No,Yes,No,"0-100,000",Complete
53,,"2019-05-28 23:32:04",50,Female,,No,"Physician anesthesiologist",7,1,Yes,No,No,"Teaching hospital",,Yes,Yes,3,20-30,U2,"2-3 million",,,,,,,,,,,,,,,,,,,,,,"2-3 million",No,No,No,"0-100,000",Complete
54,,"2019-05-29 01:03:07",43,Female,Married,No,"Anesthetic officer",9,2,Yes,No,No,"Teaching hospital",,Yes,Yes,3,20-30,U5,"1-2 million","Private, for profit hospital",,No,2,10-20,"1-2 million",,,,,,,,,,,,,,,,"2-3 million",No,No,No,"0-100,000",Complete
55,,"2019-05-29 01:36:01",40,Male,Married,No,"Anesthetic officer",2,3,Yes,No,No,"Teaching hospital",,Yes,Yes,3,20-30,u5,"500,000 - 1,000,000","Private, not for profit hospital",,No,2,20-30,"500,000 - 1,000,000","Private, for profit hospital",,No,3,20-30,"500,000 - 1,000,000",,,,,,,,,,"2-3 million",No,No,No,,Complete
56,,"2019-05-31 02:41:52",33,Female,Married,No,"Anesthetic officer",1,2,Yes,No,No,"Government hospital",,Yes,Yes,3,30-40,U5,"1-2 million","Private, for profit hospital",,No,3,20-30,"2-3 million",,,,,,,,,,,,,,,,"3-6 million",No,No,No,"0-100,000",Complete
57,,"2019-06-01 02:59:28",42,Male,Married,No,"Anesthetic officer",8,2,Yes,Yes,Yes,"Government hospital",,Yes,Yes,4,>40,U4,"1-2 million","Private, for profit hospital",,No,3,30-40,"1-2 million",,,,,,,,,,,,,"Private business","10-20 hours","2-3 million","3-6 million",No,No,No,,Complete
58,,"2019-06-02 07:31:34",29,Female,Married,No,"Anesthetic officer",4,2,No,No,No,,,,,,,,,"Private, not for profit hospital",,No,3,>40,"500,000 - 1,000,000","Private, not for profit hospital",,No,3,10-20,"0-500,000",,,,,,,,,,"500,000 - 1,000,000",No,Yes,No,"0-100,000",Complete
59,,"2019-06-04 05:12:46",44,Female,Married,No,"Anesthetic officer",9,3,Yes,Yes,No,"Government hospital",,Yes,Yes,4,>40,U4,"2-3 million","Private, for profit hospital",,No,3,10-20,"3-6 million","Private, for profit hospital",,No,3,10-20,"3-6 million",,,,,,,"Business ","0-5 hours","9-11 million","9-11 million",No,Yes,No,"0-100,000",Complete
60,,"2019-06-06 07:53:47",40,Female,Married,No,"Anesthetic officer",8,1,Yes,No,No,"Government hospital",,Yes,Yes,4,30-40,U4,"1-2 million",,,,,,,,,,,,,,,,,,,,,,"1-2 million",No,No,No,"0-100,000",Complete
61,,"2019-06-11 03:30:49",32,Female,Single,No,"Physician anesthesiologist",4,1,Yes,Yes,No,"Teaching hospital",,Yes,Yes,6,>40,U2,"2-3 million",,,,,,,,,,,,,,,,,,,,"0-5 hours","0-500,000","2-3 million",No,Yes,No,"100,000-250,000",Complete
62,,"[not completed]",32,Female,Married,No,"Physician anesthesiologist",4,2,Yes,No,No,"Government hospital",,Yes,Yes,3,>40,U2,"3-6 million",,,No,2,20-30,"2-3 million",,,,,,,,,,,,,,,,"6-9 million",Yes,Yes,No,"250,000-500,000",Incomplete
63,,"2019-06-21 23:31:29",32,Female,Married,No,"Physician anesthesiologist",4,2,Yes,No,No,"Government hospital",,Yes,Yes,3,>40,U2,"3-6 million","Private, for profit hospital",,No,2,20-30,"2-3 million",,,,,,,,,,,,,,,,"6-9 million",Yes,Yes,No,"250,000-500,000",Complete
